id,AspectTerms,OpinionTerms,Categories,Polarities
16,_,没以前的好用,整体,负面
14,_,不错,整体,正面
18,_,很喜欢,整体,正面
18,_,很好用,使用体验,正面
10,_,不错,整体,正面
13,_,一般般,整体,中性
4,_,还行吧,整体,正面
8,_,好评,整体,正面
20,_,自然,使用体验,正面
20,_,不油腻,使用体验,正面
17,发货速度,快,物流,正面
17,_,这样好,整体,正面
5,_,效果不错,整体,正面
7,_,特别好用,整体,正面
7,_,建议购买,整体,正面
7,_,很喜欢,整体,正面
11,_,不错,整体,正面
11,_,没有油腻的感觉,使用体验,正面
11,_,很清爽,使用体验,正面
11,_,水润,使用体验,正面
24,_,用着不错,整体,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,支持,整体,正面
19,_,给力,整体,正面
19,_,大赞一个,整体,正面
19,_,喜欢,整体,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,使用体验,正面
6,_,一下子提亮了肌肤,功效,正面
6,_,很好,整体,正面
21,_,挺好用的,整体,正面
23,_,很不错,整体,正面
23,_,很贴肤细腻,使用体验,正面
31,_,不错,整体,正面
31,_,效果非常好,整体,正面
12,包装,一般,包装,中性
12,_,看着还行,整体,中性
33,_,好用,整体,正面
33,_,很自然,功效,正面
3,_,挺细腻,使用体验,正面
3,_,今天才用上,整体,中性
34,_,东西很好，用着不错,整体,正面
34,_,就是快,物流,正面
32,卸妆液,升级过了的,其他,正面
32,卸妆液,比之前的好,整体,正面
32,卸妆,干净,功效,正面
15,物流速度,快,物流,正面
15,包装,包装质量是怎么回事？盖子裂了，还掉了一小块在盒子里，这一点让人很不爽,包装,负面
36,快递,很快,物流,正面
27,_,真心不错,整体,正面
27,_,一直用,使用体验,正面
42,_,一般,整体,中性
38,_,很水润,使用体验,正面
38,包装,也不错,包装,正面
38,_,推荐给闺蜜朋友了,整体,正面
29,_,很好用,整体,正面
29,_,很温和,使用体验,正面
29,_,值得入手,整体,正面
22,_,很适合,使用体验,正面
22,_,晚上用最合适了,使用体验,正面
22,_,会洗的比较干净,使用体验,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,_,效果一般,整体,负面
25,_,双11确实比平时优惠,价格,正面
25,_,希望质量能保证,整体,中性
43,_,挺好用的,整体,正面
43,酒精味,重,气味,负面
30,_,还可以,整体,正面
30,_,刚涂上有些发白,使用体验,负面
30,_,过会儿就自然了,使用体验,正面
46,_,还可以,整体,正面
26,_,很好用,整体,正面
26,_,太贵了,价格,负面
26,_,要不然有点干,使用体验,负面
26,_,这天气可以再过一久使用,使用体验,中性
45,_,很好,整体,正面
45,_,一直在用,整体,正面
45,_,购买了好几次了,整体,正面
35,洗面奶,不合适,使用体验,负面
35,_,送了很多东西,整体,正面
41,_,水水的,使用体验,正面
41,_,很好用,使用体验,正面
41,_,脸不紧绷了,使用体验,正面
47,_,非常不错,整体,正面
47,_,没有刺鼻的味道,气味,正面
47,_,很温和,使用体验,正面
52,_,好用,整体,正面
52,_,显白,功效,正面
52,_,不油腻,使用体验,正面
56,_,很喜欢,整体,正面
49,盒子,没有,包装,负面
49,塑料袋,太垃圾了,包装,负面
49,_,不值这个价,价格,负面
2,_,不是我喜欢的,整体,负面
2,_,颜色明显,其他,负面
2,_,一眼就看出,整体,负面
57,_,不怎么好用,整体,负面
37,_,很期待效果,功效,正面
37,_,很划算,价格,正面
37,_,速度很快,物流,正面
9,_,购物愉快,整体,正面
9,_,好东西,整体,正面
9,_,第一次买这个护肤品,整体,中性
9,_,还可以,使用体验,中性
61,_,好好好好,整体,正面
40,双十一买的73 120ml,特别划得来,价格,正面
58,_,大大的,尺寸,正面
58,_,亲肤柔和,使用体验,正面
58,_,满意,整体,正面
64,_,很适合,整体,正面
64,_,不错,整体,正面
59,_,辣眼睛,使用体验,负面
59,_,疼,使用体验,负面
60,_,非常好,整体,正面
60,_,很滑,使用体验,正面
60,_,很嫩,使用体验,正面
55,_,感觉很不错,整体,正面
55,_,实惠,价格,正面
55,_,下次还会再来,整体,正面
69,快递,给力,物流,正面
44,_,很喜欢,整体,正面
44,还送了两片西膜,很喜欢,其他,正面
67,_,好用,整体,正面
68,物流,非常快,物流,正面
68,包装,不错,包装,正面
68,_,期待好用,整体,正面
39,物流,很快,物流,正面
39,快递小哥,服务很好,服务,正面
39,_,已经试用过,使用体验,中性
39,_,是真的,真伪,正面
48,_,还行,整体,正面
48,_,不错,整体,正面
51,送了两个替换的,不错,价格,正面
71,_,保湿滋润,使用体验,正面
71,_,挺好的,整体,正面
74,_,不怎么滴,整体,负面
76,_,很好用,整体,正面
73,_,过敏,使用体验,负面
73,_,脸上长红色的疙瘩,使用体验,负面
70,_,还可以,整体,正面
1,_,是正品,真伪,正面
1,_,勾称白嫩,使用体验,正面
1,_,不错的商品,整体,正面
1,_,勾称白嫩,功效,正面
50,香味,淡淡的,气味,正面
50,_,还不错,整体,正面
50,_,不提供发票,服务,负面
63,_,关注好久,整体,正面
63,活动,特别合适,价格,正面
81,_,很好用,整体,正面
79,包装,很好,包装,正面
79,快递,也快,物流,正面
66,物流,很快,物流,正面
66,_,还可以,整体,正面
89,_,非常好用,整体,正面
90,_,看着不错,整体,正面
62,_,一擦就蹭下来了,使用体验,负面
62,_,不好用,整体,负面
62,_,不是想象那样,整体,负面
62,_,可能我不适合这个,整体,中性
53,_,不知道好不好用,使用体验,中性
53,价格,挺便宜,价格,正面
53,_,还送了两个替换装,其他,正面
53,_,希望效果好,使用体验,中性
72,包装,很一般,包装,中性
77,_,好评,整体,正面
77,_,真的好好用,整体,正面
77,_,无刺激,使用体验,正面
77,_,用完还会购买,整体,正面
82,_,不错,整体,正面
82,_,值得购买,整体,正面
82,物流,很快,物流,正面
82,_,值得信赖,整体,正面
91,_,挺好的，用着不错的,整体,正面
54,快递速度,快,物流,正面
54,快递小哥,点赞,物流,正面
86,_,很好用,整体,正面
86,_,修复得很好,使用体验,正面
86,_,光光滑,使用体验,正面
86,_,超喜欢,整体,正面
95,_,挺好的,整体,正面
87,_,速度很快,整体,正面
87,_,用后水润润,使用体验,正面
87,_,好评,整体,正面
88,_,很温和,使用体验,正面
88,_,很清爽,使用体验,正面
88,_,不紧绷,使用体验,正面
88,_,很划算,价格,正面
92,味道,不是很喜欢,气味,负面
78,价格,便宜,价格,正面
78,性价比,高,价格,正面
78,包装,不错,包装,正面
96,精华液,挺多,成分,正面
96,_,用完特别滑,使用体验,正面
96,_,好评,整体,正面
99,补水效果,较好,功效,正面
99,_,还会继续购买,整体,正面
97,包装,精美,包装,正面
97,价格,实惠,价格,正面
101,_,性价比高,价格,正面
101,_,还可以的,整体,正面
65,质量,不错,整体,正面
65,送货师傅,很给力,服务,正面
65,送了一个替换装,_,其他,中性
107,_,不错的,整体,正面
100,补水效果,特别好,功效,正面
100,_,水润,使用体验,正面
100,_,强烈推荐一下,整体,正面
103,_,很喜欢,整体,正面
103,_,水水的,使用体验,正面
103,_,还会再买,整体,正面
80,_,还不错,整体,正面
80,_,希望补水效果不会让我失望,功效,中性
80,_,会继续光顾的,整体,正面
108,_,不错,整体,正面
109,_,很好用,整体,正面
109,_,信赖,整体,正面
109,_,送货快,物流,正面
83,_,还行,整体,中性
84,_,不错,整体,正面
84,_,会,整体,正面
85,设计,很喜欢,其他,正面
114,_,非常好用,整体,正面
112,_,正品,真伪,正面
112,_,香味浓郁,气味,正面
112,遮瑕效果,非常好,功效,正面
116,_,值得信赖,整体,正面
113,保湿效果,不错,功效,正面
113,_,挺好用的,使用体验,正面
115,_,很好用,使用体验,正面
115,_,愉快的购物体验,整体,正面
94,_,一直信籁的品牌,整体,正面
94,价格,价格优惠,价格,正面
94,_,满意,整体,正面
104,_,质量可以,整体,正面
104,_,便宜实惠,价格,正面
104,_,买了两包,整体,正面
105,_,还可以,整体,正面
105,外面那层膜,太硬了,使用体验,负面
121,_,挺好的,整体,正面
123,_,可以！！！！,整体,正面
93,_,很好用,整体,正面
93,_,味道特别好闻,气味,正面
93,_,很细腻,使用体验,正面
93,_,适合干性皮肤的女生,使用体验,正面
118,价格,合适,价格,正面
118,价格,不贵,价格,正面
118,_,好用,整体,正面
120,_,挺好的,整体,正面
120,_,效果不错,功效,正面
120,_,可以试试,整体,正面
124,_,很好用,整体,正面
124,_,老婆说好,整体,正面
126,_,质量不错,整体,正面
126,_,好用,整体,正面
132,_,不好,整体,负面
117,无流,快,物流,正面
111,补水,_,功效,正面
111,_,还不错,整体,正面
111,_,性价比很高,价格,正面
75,_,真心不错,整体,正面
75,_,非常划算,价格,正面
75,_,用着有好，温和不刺激,使用体验,正面
133,_,一般般,整体,中性
133,快递,慢,物流,负面
134,_,一模一样,整体,正面
134,物流,快,物流,正面
102,_,淡淡的,气味,正面
102,_,不油腻,使用体验,正面
102,_,适合黄皮,功效,正面
102,_,用过三瓶了,整体,正面
102,_,新的旧的包装都用过,包装,中性
127,_,好用,整体,正面
127,_,挺清爽的,使用体验,正面
127,_,送货速度很快很方便,物流,正面
127,_,比实体店优惠,价格,正面
127,_,值得购买,整体,正面
130,_,物美价廉,整体,正面
130,_,发货快,物流,正面
130,_,第二天收到,物流,正面
130,送的盒子,很漂亮,包装,正面
142,_,很喜欢,整体,正面
142,_,补水特别好,功效,正面
131,活动,_,价格,正面
131,_,一分钱一片,价格,正面
128,_,还可以吧,整体,中性
129,_,一言难尽,整体,负面
129,_,抹了猪油了,使用体验,负面
129,_,要等一段时间完全吸收会好些,使用体验,中性
129,_,不怎么样,整体,负面
143,_,挺实惠,价格,正面
143,_,蛮好用,整体,正面
143,_,很滋润,使用体验,正面
145,物流,杠杠的,物流,正面
145,包装,不错,包装,正面
140,送货,快,物流,正面
106,活动,_,价格,正面
106,_,好用,整体,正面
106,_,超级好用,整体,正面
106,_,值得购买,整体,正面
106,_,好用,使用体验,正面
147,_,还可以,整体,正面
119,_,正品,真伪,正面
119,_,很好用,使用体验,正面
119,_,很快,物流,正面
119,_,性价比最高,整体,正面
119,_,送了面膜和卸妆水,服务,正面
152,_,不是太喜欢,整体,负面
151,_,好评,整体,正面
98,_,很不错,整体,正面
98,紫色的隔离,非常喜欢,其他,正面
98,小赠品,还送了小赠品呢,价格,正面
98,快递,给力的很,物流,正面
110,_,还行吧,整体,正面
144,_,昨天下单今天就到,物流,正面
144,物流,很快,物流,正面
144,_,很好用,整体,正面
144,赠品,多,价格,正面
156,_,很好用,整体,正面
148,面膜补水效果,特别好,功效,正面
148,_,用了好几年,使用体验,正面
138,_,大爱大爱大爱大爱大爱,整体,正面
138,_,超级补水,功效,正面
138,_,超级划算,价格,正面
138,_,信赖,整体,正面
138,_,五星好评,整体,正面
139,一直用的牌子,一直用,整体,中性
136,_,好用,整体,正面
136,_,超级好用,整体,正面
136,_,非常适合我的皮肤,使用体验,正面
136,_,用完就不干了,使用体验,正面
136,_,很舒服,使用体验,正面
136,_,期待优惠,价格,中性
125,_,好用,整体,正面
125,_,不贵,价格,中性
122,_,不好闻,气味,负面
122,_,很次,气味,负面
122,_,不好冲洗,使用体验,负面
122,_,很勉强留下,整体,中性
137,_,不紧水份多,功效,正面
137,_,价格还便宜,价格,正面
137,_,没买错产品,整体,正面
141,_,很好用,使用体验,正面
141,_,补水效果很好,功效,正面
141,_,滋润,使用体验,正面
141,_,服帖,使用体验,正面
141,_,打造完美妆容,整体,正面
141,_,秒杀屯货,价格,正面
162,产品,挺好,整体,正面
162,物流,很快,物流,正面
162,价格,实惠,价格,正面
167,_,非常不错,整体,正面
167,_,实惠,价格,正面
159,_,应该是正品吧,真伪,中性
159,_,买那么多都没有送东西,服务,负面
166,_,挺好用的,整体,正面
150,_,很好,整体,正面
150,_,增白,功效,正面
150,补水,补水的,功效,正面
161,_,很好用,整体,正面
161,_,很实惠,价格,正面
161,_,下次还来买,整体,正面
154,_,干,使用体验,负面
154,_,搓泥,使用体验,负面
154,_,适合油性肌肤,使用体验,中性
155,经济实惠,_,价格,正面
155,送货速度,快,物流,正面
135,赠品,一点赠品都没有,其他,负面
135,_,早知道到实体店购买,整体,负面
135,积分,实体店购买还有积分,服务,正面
135,_,价格也差不多,价格,中性
146,_,特别轻薄,使用体验,正面
146,_,透气,使用体验,正面
146,_,补水,功效,正面
153,_,超级不错,整体,正面
153,细腻不起块,细腻不起块,使用体验,正面
153,配送员服务,超好,服务,正面
157,_,洗了脸养,使用体验,正面
149,_,总体效果还可以,整体,正面
149,吸收效果,不是太好,使用体验,负面
149,_,擦的时候脸上会留下霜渍,使用体验,负面
173,包装,捡漏也不送个盒子,包装,负面
177,_,一如既往的好,整体,正面
165,物流,物流速度不错,物流,正面
165,_,很喜欢,整体,正面
172,_,吸收快,使用体验,正面
172,_,超级滋润,使用体验,正面
172,双十一活动,给力,价格,正面
170,_,适合,使用体验,正面
175,_,很好用,使用体验,正面
175,_,一直再回购,整体,正面
176,_,有点点卡粉,使用体验,负面
176,_,也不咋个遮瑕,功效,负面
164,外包装,湿了,包装,负面
164,感觉,十分不好,整体,负面
163,_,挺好用的,整体,正面
163,_,很温和,使用体验,正面
163,_,很清爽,使用体验,正面
163,_,不伤皮肤,使用体验,正面
171,_,不怎么好用,整体,负面
171,_,洗不干净,使用体验,负面
171,_,比专柜要便宜,价格,中性
171,_,不知道是不是真的,真伪,负面
160,_,效果也不错,功效,正面
160,秋冬季节,非常滋润,使用体验,正面
183,_,正品,真伪,正面
183,_,很好用,整体,正面
182,_,还不错,整体,正面
182,_,能遮盖红血丝,功效,正面
182,_,挺干的感觉,使用体验,负面
184,_,不错的,整体,正面
184,_,比较优惠,价格,正面
184,_,继续购买,整体,正面
168,_,挺好用的,整体,正面
168,_,挺滋润的,使用体验,正面
168,_,毛孔没有那么大了,功效,正面
181,_,很好,整体,正面
181,_,不过敏,使用体验,正面
181,_,很保湿,功效,正面
181,_,不油腻,使用体验,正面
187,保湿效果,很好,功效,正面
188,_,特别好用,整体,正面
188,_,赞,整体,正面
169,_,好用,使用体验,正面
193,_,不错,整体,正面
158,遮暇,力度不够,功效,负面
158,_,不油腻,使用体验,正面
158,_,上妆服帖,使用体验,正面
158,_,性价比超高,整体,正面
189,_,很滋润,使用体验,正面
189,_,不脱妆,使用体验,正面
189,_,挺好用的,整体,正面
178,_,挺满意的,整体,正面
178,_,还不错,整体,正面
178,补水效果,挺好的,功效,正面
178,_,有点紧绷,使用体验,负面
198,_,还可以,整体,正面
198,_,不紧绷,使用体验,正面
203,_,用着挺好的,整体,正面
203,物流,物流挺快的,物流,正面
202,_,很喜欢,整体,正面
202,_,值得购买,整体,正面
204,_,还可以,整体,正面
192,_,很好用,整体,正面
192,_,很舒服,使用体验,正面
190,价格,合适,价格,正面
190,_,不错,整体,正面
185,_,应该不错,整体,正面
205,_,很好,整体,正面
205,_,贴肤,使用体验,正面
205,_,不卡粉,使用体验,正面
196,_,最扣的,整体,负面
196,包装盒子,没有,包装,负面
199,物流,很快,物流,正面
199,_,很满意,整体,正面
199,_,还不错,整体,正面
186,物流速度,就是快,物流,正面
186,多送了20片,_,服务,正面
186,_,非常不错,整体,正面
200,_,可以的,整体,正面
200,_,有些油,使用体验,负面
200,_,不要购买,整体,负面
174,_,不错不错,整体,正面
174,_,很好闻,气味,正面
174,_,质量很好,整体,正面
174,_,值得信赖,整体,正面
194,_,泡泡不是很多,使用体验,中性
194,气味,很好闻,气味,正面
194,气味,淡淡的清香,气味,正面
207,_,很喜欢,整体,正面
207,_,很好用,使用体验,正面
207,_,香味不重,气味,正面
207,_,不刺激,使用体验,正面
207,_,特别好,整体,正面
191,_,很不错,整体,正面
191,_,给老婆买的，希望老婆能喜欢,整体,中性
215,_,非常好用,整体,正面
215,_,很干净,使用体验,正面
197,_,还行,整体,中性
197,_,第三次买,整体,正面
201,_,很不错,整体,正面
201,_,赞一个,整体,正面
201,_,很喜欢,整体,正面
201,送货速度,快,物流,正面
201,_,棒棒的,整体,正面
214,_,效果不错,整体,正面
214,_,满意,整体,正面
179,_,物超所值,价格,正面
179,_,物聊超快,物流,正面
195,_,一般,整体,中性
195,黑头,效果一般,功效,中性
212,_,假的,真伪,负面
212,_,一个泡沫都没有,使用体验,负面
210,_,贵,价格,负面
210,双十二活动,给力,价格,正面
210,_,郁闷,整体,负面
206,礼盒,大大的幸福,包装,正面
206,盒子,很精美,包装,正面
206,_,良心卖家,整体,正面
206,_,很好用,使用体验,正面
180,_,容易推开,使用体验,正面
180,_,不油腻,使用体验,正面
180,防晒效果,挺快,功效,正面
180,_,有一丢丢泛白,使用体验,中性
180,_,挺不错,整体,正面
224,_,好用,整体,正面
209,_,最好,整体,正面
209,速度,速度快,物流,正面
209,_,放心,使用体验,正面
225,_,闷闷的,使用体验,负面
208,_,挺好用的,使用体验,正面
208,_,很舒服,使用体验,正面
208,味道,香香的,气味,正面
208,_,很滑,使用体验,正面
208,_,好评,整体,正面
226,_,用的很好,整体,正面
228,_,大爱,整体,正面
228,_,速度飞快,物流,正面
229,_,皮肤光滑,使用体验,正面
229,_,值得购买,整体,正面
218,_,不错呢,整体,正面
218,快递,超级给力,物流,正面
217,_,不错,整体,正面
217,_,补水保湿,功效,正面
234,_,还是一样好,整体,正面
227,_,好好用,整体,正面
227,_,很方便,使用体验,正面
227,品质,值得信赖,整体,正面
220,包装,挺好看,包装,正面
220,快递小哥,亲自送到家,服务,正面
230,_,很好用,整体,正面
230,_,这个不过敏,使用体验,正面
233,_,物超所值,整体,正面
233,_,全5分好评,整体,正面
235,_,还好,整体,中性
219,成分,安全,成分,正面
219,活动,_,价格,正面
219,_,很好用,整体,正面
219,_,很惊喜,整体,正面
219,赠品,_,价格,正面
219,_,颜值在线,使用体验,正面
219,_,好开森,整体,正面
223,_,很好用,使用体验,正面
223,_,涨价了,价格,负面
221,_,不错,整体,正面
221,小东西,很多,价格,正面
221,_,喜欢,整体,正面
222,拼购买,_,价格,正面
222,_,很便宜,价格,正面
244,_,不错,整体,正面
244,_,非常好用,整体,正面
243,_,一般,整体,中性
243,眼霜,没什么效果,功效,负面
237,_,挺好,整体,正面
239,_,吸收很好,使用体验,正面
239,_,适合,整体,正面
239,_,很喜欢,整体,正面
211,_,哈哈,整体,正面
211,补水效果,特别好,功效,正面
211,_,很喜欢,整体,正面
245,送货上门,_,物流,中性
245,速度,快,物流,正面
250,_,质量不错,整体,正面
213,_,效果不好,功效,负面
213,_,没有其他款式的好用,整体,负面
231,物流,物流快,物流,正面
231,_,真心不错,整体,正面
231,_,我喜欢的,整体,正面
231,_,下次再买,整体,正面
240,_,今天早上就收到了,物流,正面
240,_,不错,整体,正面
236,紫色,_,其他,中性
236,_,水润轻薄,使用体验,正面
236,_,保湿,使用体验,正面
249,_,挺好的,整体,正面
249,_,滋润,使用体验,正面
249,_,不油腻,使用体验,正面
248,_,很美白,功效,正面
248,味道,很舒服,气味,正面
248,_,很喜欢,整体,正面
248,_,大爱,整体,正面
259,_,好小,尺寸,负面
247,面膜,效果还不错,功效,正面
257,_,买一送一,价格,正面
257,_,好,整体,正面
258,_,非常非常的好用,整体,正面
258,_,第二次购买,整体,正面
258,_,值得信赖,整体,正面
246,服务,很好,服务,正面
246,_,性价比高,价格,正面
246,_,很不错,整体,正面
242,_,便宜,价格,中性
242,_,第一次买也是最后一次买,整体,负面
268,_,总体不错,整体,正面
262,_,好评,整体,正面
262,_,好用,使用体验,正面
264,_,不好的体验,使用体验,负面
254,_,一般吧,整体,中性
254,_,没有想象中的好用,整体,负面
254,_,纯补水,功效,中性
